entityid,entityname,principaladdress1,principaladdress2,principalcity,principalstate,principalzipcode,principalcountry,mailingaddress1,mailingaddress2,mailingcity,mailingstate,mailingzipcode,mailingcountry,entitystatus,jurisdictonofformation,entitytypeverbatim,entitytype,agentfirstname,agentmiddlename,agentlastname,agentsuffix,agentorganizationname,agentprincipaladdress1,agentprincipaladdress2,agentprincipalcity,agentprincipalstate,agentprincipalzipcode,agentprincipalcountry,agentmailingaddress1,agentmailingaddress2,agentmailingcity,agentmailingstate,agentmailingzipcode,agentmailingcountry,entityformdate
19971054692,"BLUE SKY PUB AND BREWERY LLC., Dissolved January 1, 2003",,,,,,,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,SERBO,,CELIN,,,1015 SHERMAN ST STE 309,,DENVER,CO,80203,US,,,,,,,4/7/1997
19951040636,"STRANGE BREW THREE CO., Dissolved March 9, 1999",8383 W ALAMEDA AVE,,Lakewood,CO,80226,US,,,,,,,Voluntarily Dissolved,,Corporation,DPC,ELMA,J.,MEANS,,,2307 S BENTON CT,,LAKEWOOD,CO,80227,US,,,,,,,3/29/1995
19931038097,GREAT DIVIDE BREWING COMPANY,2201 ARAPAHOE STREET,,Denver,CO,80205,US,,,,,,,Good Standing,,Corporation,DPC,BRIAN,MICHAEL,DUNN,,,2201 ARAPAHOE STREET,,DENVER,CO,80205,US,,,,,,,4/9/1993
19981158481,"GREEN MOUNTAIN BREWING COMPANY, Dissolved August 1, 2001",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,9/1/1998
19941057433,"COLORADO BREWING COMPANY, Dissolved March 1, 1999",12160 PENNSYLVANIA ST,,Thornton,CO,80241,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,5/18/1994
19871602372,"HAHN BREWING TECHNOLOGY, INC., Delinquent July 1, 2009",1688 COUNTY ROAD 170,,Evergreen,CO,80439,US,,,,,,,Delinquent,,Corporation,DPC,ALLEN,E.,WALKER,,,1688 COUNTY ROAD 170,,EVERGREEN,CO,80439,US,,,,,,,1/15/1985
19891050758,"NORTHERN DINING & BAR BAZAAR & OLD COLORADO BREWING INC., Dissolved March 1, 2002",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,5/11/1989
19951035334,"BONEDALE BREWWERKS, LTD., Dissolved September 23, 2004",75 S 3RD ST,,Carbondale,CO,81623,US,,,,,,,Administratively Dissolved,,Corporation,DPC,PHILIP,JOHN,HOWARD,,,75 S 3RD ST,,CARBONDALE,CO,81623,US,,,,,,,3/17/1995
19951035886,"REDHOOK ALE BREWERY, INCORPORATED, Colorado Authority Terminated September 3, 2003",3400 PHINNEY AVE N,,Seattle,WA,98103,US,,,,,,,Revoked,,Foreign Corporation,FPC,,,,,,,,,,,,,,,,,,3/20/1995
19951036117,"CASTLE ROCK BREWING CO., INC., Dissolved January 1, 2004",918 W WOLFENSBERGER RD,,Castle Rock,CO,80104,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,3/20/1995
19971195715,"SALT LAKE BREWING CO., L.L.C.+, Colorado Authority Terminated June 1, 2000",375 W 200 S STE 210,,Salt Lake City,UT,84101,US,,,,,,,Revoked,,Foreign Limited Liability Company,FLLC,,,,,,,,,,,,,,,,,,12/5/1997
19931043715,BRISTOL BREWING COMPANY,1604 S Cascade Ave.,,Colorado Springs,CO,80905,US,,,,,,,Good Standing,,Corporation,DPC,MICHAEL,T.,BRISTOL,,,1820 Pine Grove Ave,,COLORADO SPRINGS,CO,80906,US,,,,,,,4/26/1993
19871530787,"WINDY CITY PIZZA, BEEF & BREW, LTD.",6924 BROWN FOX TR,,Littleton,CO,80125,US,,,,,,,Exists,,Limited Partnership,DLP,,,,,"IMADELI, INC.",6924 BROWN FOX TR,,LITTLETON,CO,80125,US,,,,,,,7/19/1983
19901079745,COORS BREWING COMPANY,1801 California Street,Suite 4600,Denver,CO,80202,US,,,,,,,Good Standing,,Corporation,DPC,E.,Lee,Reichert,,,1801 California Street,Suite 4600,Denver,CO,80202,US,,,,,,,8/7/1990
19981033673,"TOMMYKNOCKER BREWERY - CASPER, LLC, Dissolved January 1, 2004",1401 MINER ST,,Idaho Springs,CO,80452,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,TIMOTHY,C.,LENAHAN,,,1401 MINER ST,,IDAHO SPRINGS,CO,80452,US,,,,,,,2/20/1998
19971020355,"LIZARD HEAD BREWING COMPANY, L.L.C., Delinquent April 1, 2006",24211 C R G,,Cortez,CO,81321,US,,,,,,,Delinquent,,Limited Liability Company,DLLC,RUDOLF,H.,BAEUMEL,,,15272 C.R. 33,,MANCOS,CO,81328,US,,,,,,,2/10/1997
19961099333,"GRANDVIEW BREWERY AND POE RESTAURANT LLC, Dissolved January 1, 2003",4350 WADSWORTH BLVD STE 240,,Wheat Ridge,CO,80033,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,DEWEY,I.,DUTTON,JR.,,4350 WADSWORTH BLVD STE 240,,WHEAT RIDGE,CO,80033,US,,,,,,,7/29/1996
19951157659,"FREDERICK BREWING CO., Colorado Authority Terminated June 1, 2002",4607 WEDGEWOOD BLVD,,Frederick,MD,21703,US,,,,,,,Revoked,,Foreign Corporation,FPC,,,,,,,,,,,,,,,,,,12/26/1995
19961092218,"BUCKING HORSE BREWERY INC, Dissolved May 1, 1999",P O BOX 2831,,Littleton,CO,80161,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,7/12/1996
19901111212,BREWER AND ASSOCIATES MORTGAGE COMPANY,,,,,,,,,,,,,Exists,,Limited Partnership,DLP,DANIEL,WAYNE,BREWER,,,14498 E ARKANSAS DR,,AURORA,CO,80012,US,,,,,,,12/31/1990
19961092925,"IRON HORSE SALOON AND BREWERY LLC, Dissolved January 1, 2003",MAILING ADDRESS,P O BOX 616,Silverton,CO,81433,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,RAYMOND,,JONES,,,1751 MINERAL ST,,SILVERTON,CO,81433,US,,,,,,,7/15/1996
19931064077,GOLDEN CITY BREWERY LIMITED LIABILITY COMPANY,920 12TH ST,,Golden,CO,80401,US,,,,,,,Good Standing,,Limited Liability Company,DLLC,JANINE,M.,STURDAVANT,,,920 12TH ST,,GOLDEN,CO,80401,US,920 12th St.,,Golden,CO,80401,US,6/21/1993
19971023546,"FIR BREWING, INC., Delinquent April 1, 2006",2214 S DEVINNEY ST,,Lakewood,CO,80228,US,,,,,,,Delinquent,,Corporation,DPC,FRANK,,RUKAVINA,,,2214 S DEVINNEY ST,,LAKEWOOD,CO,80228,US,,,,,,,2/18/1997
19901109379,"CHAMPION BREWING COMPANY, Dissolved October 1, 2001",1400 LARIMER ST,STE 300,Denver,,80202,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,12/21/1990
19951041716,"SNOW DOG BREWERY CORP., Dissolved January 1, 2002",30 BENCHMARK RD STE 222,PO BOX 5570,Avon,CO,81620,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,3/30/1995
19991082821,"2 BREW SERVICES, INC.",119 E. LaBonte Street,Suite 102,Dillon,CO,80435,US,P.O. Box 131,,Silverthorne,CO,80498,US,Good Standing,,Corporation,DPC,GREGORY,A.,BREWER,,,0074 BEAVER COURT,,DILLON,CO,80435,US,PO BOX 131,,SILVERTHORNE,CO,80498,US,4/30/1999
19971024631,"WOLFTONGUE BREWERY, LLC, Dissolved July 1, 2001",35 E 1ST ST,,Nederland,CO,80466,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,CORY,,O'NEEL,,,35 E 1ST ST,,NEDERLAND,CO,80466,US,,,,,,,2/19/1997
19931068192,"BREWSTER TRUCKING, INC., Dissolved June 1, 2000",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,7/1/1993
19971025751,Cold Spring Brewing Company,219 RED RIVER AVE N,,Cold Spring,MN,56320,US,PO Box 476,,Cold Spring,MN,56320,US,Good Standing,,Corporation,DPC,,,,,The Corporation Company,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,2/20/1997
19871367208,"Brewers Association, Inc.",1327 SPRUCE ST.,,Boulder,CO,80302,US,PO Box 1679,,Boulder,CO,80306,US,Good Standing,,Nonprofit Corporation,DNC,CHARLES,N.,PAPAZIAN,,,1327 SPRUCE ST.,,BOULDER,CO,80302,US,1327 Spruce St.,,Boulder,CO,80302,US,3/15/1979
19971129055,"GLACIER BREWING COMPANY, Dissolved June 1, 2000",A 1/3 ACR,BOX 235,Colorado Springs,CO,80913,US,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,8/13/1997
19981042253,"BOHEMIAN BREWERIES INTERNATIONAL LLC, Dissolved July 3, 2003",103 W MOUNTAIN AVE,,Fort Collins,CO,80524,US,,,,,,,Voluntarily Dissolved,,Limited Liability Company,DLLC,JOSEPH,C.,ZIMLICH,,,103 W MOUNTAIN AVE,,FORT COLLINS,CO,80524,US,,,,,,,3/5/1998
19871541308,"FIBREWORKS, LTD.",28107 Meadowlark Drive,,Golden,CO,80401,US,,,,,,,Good Standing,,Corporation,DPC,Edie,,Petrock,,,28107 Meadowlark Drive,,Golden,CO,80401,US,,,,,,,10/7/1983
19951155033,"COCHETOPA BREWING CO., LLC, Dissolved January 1, 2002",,,,,,,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,CHARLES,K.,STUART,,,4461 S QUEEN ST,,LITTLETON,CO,80127,US,,,,,,,12/19/1995
19871688089,"ASPEN BREWING COMPANY, Dissolved July 1, 1999",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,9/8/1986
19941085194,"ATLANTIS BREWING COMPANY, Dissolved May 1, 1999",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,7/29/1994
19911000273,"DAVID BREWSTER AND ASSOCIATES, INC.",4890 RIVERBEND RD,,Boulder,CO,80301,US,,,,,,,Good Standing,,Corporation,DPC,DAVID,J.,BREWSTER,,,4890 RIVERBEND RD,,BOULDER,CO,80301,US,,,,,,,1/3/1991
19961102835,"BREWER ENTERPRISES, INC., Dissolved October 17, 2002",2073 S WORCHESTER WAY,,Aurora,CO,80014,US,,,,,,,Voluntarily Dissolved,,Corporation,DPC,JUDY,,BREWER,,,2073 S WORCHESTER WAY,,AURORA,CO,80014,US,,,,,,,8/5/1996
19961006585,"MT. MANITOU BREWERY, LLC, Dissolved January 1, 2002",LTR SENT GORDON STAATS JR,79C WATCH HILL DR,Colo Spgs (returned),CO,80906,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,,,,,,,,,,,,,,,,,,1/16/1996
19911003817,"BREWER SYSTEMS CONSULTANTS, INC., Dissolved November 1, 1999",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,1/22/1991
19871702038,"THE STROH BREWERY COMPANY, Colorado Authority Terminated October 4, 1999",100 RIVER PL,,Detroit,MI,48207-4291,US,,,,,,,Withdrawn,,Foreign Corporation,FPC,,,,,The Corporation Company,7700 E Arapahoe Rd Ste 220,,Centennial,CO,80112-1268,US,,,,,,,12/18/1986
19961002272,"FLATROCK BREWING COMPANY, INC., Dissolved September 23, 2004",1300 PLAZA COURT NORTH STE 101,,Lafayette,CO,80026,US,,,,,,,Administratively Dissolved,,Corporation,DPC,TOM,,ESCHNER,,,1300 PLAZA COURT NORTH STE 101,,LAFAYETTE,CO,80026,US,,,,,,,1/5/1996
19961003593,"FRISCO BREWING CO., L.L.C.",720 MAIN ST,PO BOX 4265,Frisco,CO,80443,US,PO Box 4265,,Frisco,CO,80443,US,Good Standing,,Limited Liability Company,DLLC,Anthony,,Carestia,,,720 MAIN ST,PO BOX 4265,FRISCO,CO,80443,US,PO BOX 4265,,Frisco,CO,80443,US,1/9/1996
19991093602,"BREWERY CONCEPTS, INC., Dissolved March 1, 2002",,,,,,,,,,,,,Administratively Dissolved,,Corporation,DPC,,,,,,,,,,,,,,,,,,5/17/1999
19961101388,"RIVER RUN BREWPUB, LLC, Delinquent January 1, 2015",45 Inverness Drive East,,Englewood,CO,80112,US,,,,,,,Delinquent,,Limited Liability Company,DLLC,WILLIAM,F.,FERGUSON,Jr.,,45 Inverness Drive East,,Englewood,CO,80112,US,,,,,,,8/1/1996
19961011531,"BRECKENRIDGE BREWERY OF BIRMINGHAM LLC, Dissolved June 1, 2002",1908 11TH AVE S,,Birmingham,AL,35205,US,,,,,,,Administratively Dissolved,,Limited Liability Company,DLLC,EDWARD,A.,CERKOVNIK,JR.,,471 KALAMATH,,DENVER,CO,80204-1926,US,,,,,,,1/25/1996
